[2020-07-24 13:04:47,282]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2020-07-24 13:04:47,284]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2020-07-24 13:04:47,285]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2020-07-24 13:04:47,286]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2020-07-24 13:15:34,902]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2020-07-24 13:15:34,905]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2020-07-24 13:15:34,905]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2020-07-24 13:15:34,906]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2020-07-24 16:07:34,494]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2020-07-24 16:07:34,503]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2020-07-24 16:07:34,505]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2020-07-24 16:07:34,506]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2020-07-27 11:19:39,271]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2020-07-27 11:19:39,282]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2020-07-27 11:19:39,284]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2020-07-27 11:19:39,286]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2020-07-28 13:09:17,676]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2020-07-28 13:09:17,684]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2020-07-28 13:09:17,685]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2020-07-28 13:09:17,685]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2020-07-28 13:44:21,876]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2020-07-28 13:44:21,881]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2020-07-28 13:44:21,882]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2020-07-28 13:44:21,883]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2020-07-28 20:43:21,760]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2020-07-28 20:43:21,765]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2020-07-28 20:43:21,766]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2020-07-28 20:43:21,767]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2020-07-29 11:24:23,481]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2020-07-29 11:24:23,488]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2020-07-29 11:24:23,489]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2020-07-29 11:24:23,489]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
[2020-07-29 18:38:51,948]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - Checking for patch changes ...  
[2020-07-29 18:38:51,959]  FINE {org.wso2.carbon.server.util.PatchUtils processPatches} - No new patch or service pack detected, server will start without applying patches   
[2020-07-29 18:38:51,961]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification started  
[2020-07-29 18:38:51,962]  FINE {org.wso2.carbon.server.util.PatchUtils checkMD5Checksum} - Patch verification successfully completed  
